institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Midwestern State,Information,2019,10,,,,TX
Midwestern State,Finance,2004,1,118,129,.9147287,TX
Midwestern State,Finance,2004,5,120,140,.85714287,TX
Midwestern State,Finance,2004,10,121,141,.85815603,TX
Midwestern State,Finance,2007,1,103,104,.99038464,TX
Midwestern State,Finance,2007,5,119,141,.84397161,TX
Midwestern State,Finance,2007,10,103,125,.824,TX
Midwestern State,Finance,2010,1,114,137,.83211678,TX
Midwestern State,Finance,2010,5,110,141,.78014183,TX
Midwestern State,Finance,2010,10,114,144,.79166669,TX
Midwestern State,Finance,2013,1,93,105,.88571429,TX
Midwestern State,Finance,2013,5,95,126,.75396824,TX
Midwestern State,Finance,2013,10,,,,TX
Midwestern State,Finance,2016,1,88,104,.84615386,TX
Midwestern State,Finance,2016,5,108,132,.81818181,TX
Midwestern State,Finance,2016,10,,,,TX
Midwestern State,Finance,2019,1,86,98,.87755102,TX
Midwestern State,Finance,2019,5,,,,TX
Midwestern State,Finance,2019,10,,,,TX
Midwestern State,Real Estate,2004,1,24,24,1,TX
Midwestern State,Real Estate,2004,5,22,30,.73333335,TX
Midwestern State,Real Estate,2004,10,21,27,.77777779,TX
Midwestern State,Real Estate,2007,1,17,19,.89473683,TX
Midwestern State,Real Estate,2007,5,16,20,.80000001,TX
Midwestern State,Real Estate,2007,10,14,15,.93333334,TX
Midwestern State,Real Estate,2010,1,29,32,.90625,TX
Midwestern State,Real Estate,2010,5,25,33,.75757575,TX
Midwestern State,Real Estate,2010,10,16,17,.94117647,TX
Midwestern State,Real Estate,2013,1,9,11,.81818181,TX
Midwestern State,Real Estate,2013,5,19,25,.75999999,TX
Midwestern State,Real Estate,2013,10,,,,TX
Midwestern State,Real Estate,2016,1,27,28,.96428573,TX
Midwestern State,Real Estate,2016,5,25,25,1,TX
Midwestern State,Real Estate,2016,10,,,,TX
Midwestern State,Real Estate,2019,1,35,36,.97222221,TX
Midwestern State,Real Estate,2019,5,,,,TX
Midwestern State,Real Estate,2019,10,,,,TX
Midwestern State,Professional Services,2004,1,87,102,.85294116,TX
Midwestern State,Professional Services,2004,5,85,132,.64393938,TX
Midwestern State,Professional Services,2004,10,83,115,.72173911,TX
Midwestern State,Professional Services,2007,1,71,74,.95945948,TX
Midwestern State,Professional Services,2007,5,81,110,.73636365,TX
Midwestern State,Professional Services,2007,10,74,88,.84090906,TX
Midwestern State,Professional Services,2010,1,65,92,.70652175,TX
