institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Western Oregon,Health Care,2019,1,366,439,.833713,OR
Western Oregon,Health Care,2019,5,,,,OR
Western Oregon,Health Care,2019,10,,,,OR
Western Oregon,Information,2004,1,23,36,.6388889,OR
Western Oregon,Information,2004,5,17,30,.56666666,OR
Western Oregon,Information,2004,10,19,37,.51351351,OR
Western Oregon,Information,2007,1,22,35,.62857145,OR
Western Oregon,Information,2007,5,19,25,.75999999,OR
Western Oregon,Information,2007,10,20,41,.48780489,OR
Western Oregon,Information,2010,1,8,17,.47058824,OR
Western Oregon,Information,2010,5,28,41,.68292683,OR
Western Oregon,Information,2010,10,31,45,.68888891,OR
Western Oregon,Information,2013,1,35,49,.71428573,OR
Western Oregon,Information,2013,5,36,44,.81818181,OR
Western Oregon,Information,2013,10,,,,OR
Western Oregon,Information,2016,1,30,40,.75,OR
Western Oregon,Information,2016,5,35,46,.76086956,OR
Western Oregon,Information,2016,10,,,,OR
Western Oregon,Information,2019,1,41,49,.83673471,OR
Western Oregon,Information,2019,5,,,,OR
Western Oregon,Information,2019,10,,,,OR
Western Oregon,Management,2004,1,21,25,.83999997,OR
Western Oregon,Management,2004,5,19,23,.82608694,OR
Western Oregon,Management,2004,10,24,29,.82758623,OR
Western Oregon,Management,2007,1,27,33,.81818181,OR
Western Oregon,Management,2007,5,33,35,.94285715,OR
Western Oregon,Management,2007,10,36,45,.80000001,OR
Western Oregon,Management,2010,1,37,41,.902439,OR
Western Oregon,Management,2010,5,46,50,.92000002,OR
Western Oregon,Management,2010,10,34,41,.82926828,OR
Western Oregon,Management,2013,1,32,40,.80000001,OR
Western Oregon,Management,2013,5,46,58,.79310346,OR
Western Oregon,Management,2013,10,,,,OR
Western Oregon,Management,2016,1,26,35,.74285716,OR
Western Oregon,Management,2016,5,26,32,.8125,OR
Western Oregon,Management,2016,10,,,,OR
Western Oregon,Management,2019,1,29,30,.96666664,OR
Western Oregon,Management,2019,5,,,,OR
Western Oregon,Management,2019,10,,,,OR
Western Oregon,Manufacturing,2004,1,36,70,.51428574,OR
Western Oregon,Manufacturing,2004,5,41,70,.58571428,OR
Western Oregon,Manufacturing,2004,10,51,90,.56666666,OR
Western Oregon,Manufacturing,2007,1,41,74,.55405408,OR
Western Oregon,Manufacturing,2007,5,54,87,.62068963,OR
Western Oregon,Manufacturing,2007,10,47,95,.49473685,OR
Western Oregon,Manufacturing,2010,1,38,59,.64406782,OR
Western Oregon,Manufacturing,2010,5,64,99,.64646465,OR
Western Oregon,Manufacturing,2010,10,68,106,.64150941,OR
Western Oregon,Manufacturing,2013,1,63,79,.79746836,OR
Western Oregon,Manufacturing,2013,5,78,121,.64462811,OR
Western Oregon,Manufacturing,2013,10,,,,OR
Western Oregon,Manufacturing,2016,1,57,96,.59375,OR
Western Oregon,Manufacturing,2016,5,54,85,.63529414,OR
Western Oregon,Manufacturing,2016,10,,,,OR
Western Oregon,Manufacturing,2019,1,73,106,.68867922,OR
Western Oregon,Manufacturing,2019,5,,,,OR
Western Oregon,Manufacturing,2019,10,,,,OR
Western Oregon,Mining,2004,1,1,1,1,OR
Western Oregon,Mining,2004,5,0,0,,OR
Western Oregon,Mining,2004,10,0,1,0,OR
Western Oregon,Mining,2007,1,0,1,0,OR
Western Oregon,Mining,2007,5,0,0,,OR
Western Oregon,Mining,2007,10,0,0,,OR
Western Oregon,Mining,2010,1,1,1,1,OR
Western Oregon,Mining,2010,5,0,0,,OR
Western Oregon,Mining,2010,10,1,1,1,OR
Western Oregon,Mining,2013,1,0,0,,OR
Western Oregon,Mining,2013,5,0,1,0,OR
Western Oregon,Mining,2013,10,,,,OR
Western Oregon,Mining,2016,1,1,2,.5,OR
Western Oregon,Mining,2016,5,0,0,,OR
Western Oregon,Mining,2016,10,,,,OR
Western Oregon,Mining,2019,1,1,3,.33333334,OR
Western Oregon,Mining,2019,5,,,,OR
Western Oregon,Mining,2019,10,,,,OR
Western Oregon,Other Services,2004,1,21,31,.67741936,OR
Western Oregon,Other Services,2004,5,18,28,.64285713,OR
Western Oregon,Other Services,2004,10,25,40,.625,OR
Western Oregon,Other Services,2007,1,13,24,.54166669,OR
Western Oregon,Other Services,2007,5,20,26,.76923078,OR
Western Oregon,Other Services,2007,10,18,32,.5625,OR
Western Oregon,Other Services,2010,1,37,52,.71153843,OR
Western Oregon,Other Services,2010,5,29,33,.87878788,OR
Western Oregon,Other Services,2010,10,29,33,.87878788,OR
Western Oregon,Other Services,2013,1,37,54,.68518519,OR
Western Oregon,Other Services,2013,5,26,37,.7027027,OR
Western Oregon,Other Services,2013,10,,,,OR
Western Oregon,Other Services,2016,1,41,50,.81999999,OR
Western Oregon,Other Services,2016,5,31,46,.67391306,OR
Western Oregon,Other Services,2016,10,,,,OR
Western Oregon,Other Services,2019,1,27,41,.65853661,OR
Western Oregon,Other Services,2019,5,,,,OR
Western Oregon,Other Services,2019,10,,,,OR
Western Oregon,Professional Services,2004,1,62,94,.65957445,OR
Western Oregon,Professional Services,2004,5,64,91,.70329672,OR
Western Oregon,Professional Services,2004,10,57,81,.7037037,OR
Western Oregon,Professional Services,2007,1,62,93,.66666669,OR
Western Oregon,Professional Services,2007,5,85,113,.75221241,OR
Western Oregon,Professional Services,2007,10,65,115,.56521738,OR
Western Oregon,Professional Services,2010,1,59,91,.64835167,OR
Western Oregon,Professional Services,2010,5,68,108,.62962961,OR
Western Oregon,Professional Services,2010,10,80,117,.6837607,OR
Western Oregon,Professional Services,2013,1,67,97,.69072163,OR
Western Oregon,Professional Services,2013,5,81,125,.648,OR
Western Oregon,Professional Services,2013,10,,,,OR
Western Oregon,Professional Services,2016,1,69,98,.70408165,OR
Western Oregon,Professional Services,2016,5,85,144,.59027779,OR
Western Oregon,Professional Services,2016,10,,,,OR
Western Oregon,Professional Services,2019,1,72,131,.5496183,OR
Western Oregon,Professional Services,2019,5,,,,OR
Western Oregon,Professional Services,2019,10,,,,OR
Western Oregon,Public Admin,2004,1,178,239,.74476987,OR
Western Oregon,Public Admin,2004,5,227,268,.8470149,OR
Western Oregon,Public Admin,2004,10,215,278,.77338129,OR
Western Oregon,Public Admin,2007,1,160,197,.81218272,OR
Western Oregon,Public Admin,2007,5,175,223,.78475338,OR
Western Oregon,Public Admin,2007,10,193,253,.76284587,OR
Western Oregon,Public Admin,2010,1,114,147,.77551019,OR
Western Oregon,Public Admin,2010,5,194,251,.77290839,OR
Western Oregon,Public Admin,2010,10,215,260,.82692307,OR
Western Oregon,Public Admin,2013,1,170,210,.80952382,OR
Western Oregon,Public Admin,2013,5,257,308,.83441556,OR
Western Oregon,Public Admin,2013,10,,,,OR
Western Oregon,Public Admin,2016,1,176,233,.75536484,OR
Western Oregon,Public Admin,2016,5,278,326,.85276073,OR
Western Oregon,Public Admin,2016,10,,,,OR
Western Oregon,Public Admin,2019,1,173,202,.85643566,OR
Western Oregon,Public Admin,2019,5,,,,OR
Western Oregon,Public Admin,2019,10,,,,OR
Western Oregon,Real Estate,2004,1,22,32,.6875,OR
Western Oregon,Real Estate,2004,5,17,25,.68000001,OR
Western Oregon,Real Estate,2004,10,9,12,.75,OR
Western Oregon,Real Estate,2007,1,12,23,.52173913,OR
Western Oregon,Real Estate,2007,5,15,20,.75,OR
Western Oregon,Real Estate,2007,10,13,23,.56521738,OR
Western Oregon,Real Estate,2010,1,10,12,.83333331,OR
Western Oregon,Real Estate,2010,5,15,22,.68181819,OR
Western Oregon,Real Estate,2010,10,13,15,.86666667,OR
Western Oregon,Real Estate,2013,1,10,24,.41666666,OR
Western Oregon,Real Estate,2013,5,23,25,.92000002,OR
Western Oregon,Real Estate,2013,10,,,,OR
Western Oregon,Real Estate,2016,1,20,26,.76923078,OR
Western Oregon,Real Estate,2016,5,18,23,.78260869,OR
Western Oregon,Real Estate,2016,10,,,,OR
Western Oregon,Real Estate,2019,1,12,19,.63157892,OR
Western Oregon,Real Estate,2019,5,,,,OR
Western Oregon,Real Estate,2019,10,,,,OR
Western Oregon,Retail,2004,1,140,179,.78212291,OR
Western Oregon,Retail,2004,5,67,103,.65048546,OR
Western Oregon,Retail,2004,10,54,90,.60000002,OR
Western Oregon,Retail,2007,1,142,183,.77595627,OR
Western Oregon,Retail,2007,5,92,126,.73015875,OR
Western Oregon,Retail,2007,10,56,99,.56565654,OR
Western Oregon,Retail,2010,1,153,196,.78061223,OR
Western Oregon,Retail,2010,5,85,143,.59440559,OR
Western Oregon,Retail,2010,10,50,91,.54945058,OR
Western Oregon,Retail,2013,1,169,216,.7824074,OR
Western Oregon,Retail,2013,5,94,151,.62251657,OR
Western Oregon,Retail,2013,10,,,,OR
Western Oregon,Retail,2016,1,133,184,.72282606,OR
Western Oregon,Retail,2016,5,69,115,.60000002,OR
Western Oregon,Retail,2016,10,,,,OR
Western Oregon,Retail,2019,1,152,197,.7715736,OR
Western Oregon,Retail,2019,5,,,,OR
Western Oregon,Retail,2019,10,,,,OR
Western Oregon,Transportation,2004,1,27,44,.61363637,OR
Western Oregon,Transportation,2004,5,35,41,.85365856,OR
Western Oregon,Transportation,2004,10,36,48,.75,OR
Western Oregon,Transportation,2007,1,18,25,.72000003,OR
Western Oregon,Transportation,2007,5,29,39,.74358976,OR
Western Oregon,Transportation,2007,10,42,63,.66666669,OR
