institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
College of Charleston,Health Care,2004,5,285,513,.55555558,SC
College of Charleston,Health Care,2004,10,348,695,.50071943,SC
College of Charleston,Health Care,2007,1,193,296,.65202701,SC
College of Charleston,Health Care,2007,5,319,624,.51121795,SC
College of Charleston,Health Care,2007,10,345,729,.47325101,SC
College of Charleston,Health Care,2010,1,194,306,.63398695,SC
College of Charleston,Health Care,2010,5,284,615,.46178862,SC
College of Charleston,Health Care,2010,10,311,705,.44113475,SC
College of Charleston,Health Care,2013,1,253,419,.6038186,SC
College of Charleston,Health Care,2013,5,316,643,.49144635,SC
College of Charleston,Health Care,2013,10,,,,SC
College of Charleston,Health Care,2016,1,289,453,.63796908,SC
College of Charleston,Health Care,2016,5,329,703,.4679943,SC
College of Charleston,Health Care,2016,10,,,,SC
College of Charleston,Health Care,2019,1,324,455,.71208793,SC
College of Charleston,Health Care,2019,5,,,,SC
College of Charleston,Health Care,2019,10,,,,SC
College of Charleston,Information,2004,1,86,134,.64179105,SC
College of Charleston,Information,2004,5,70,145,.48275861,SC
College of Charleston,Information,2004,10,52,111,.46846846,SC
College of Charleston,Information,2007,1,61,102,.59803921,SC
College of Charleston,Information,2007,5,67,156,.42948717,SC
College of Charleston,Information,2007,10,50,157,.31847134,SC
College of Charleston,Information,2010,1,60,119,.50420171,SC
College of Charleston,Information,2010,5,61,175,.34857142,SC
College of Charleston,Information,2010,10,70,210,.33333334,SC
College of Charleston,Information,2013,1,65,140,.4642857,SC
College of Charleston,Information,2013,5,61,225,.2711111,SC
College of Charleston,Information,2013,10,,,,SC
College of Charleston,Information,2016,1,58,127,.4566929,SC
College of Charleston,Information,2016,5,101,256,.39453125,SC
College of Charleston,Information,2016,10,,,,SC
College of Charleston,Information,2019,1,77,157,.49044585,SC
College of Charleston,Information,2019,5,,,,SC
College of Charleston,Information,2019,10,,,,SC
College of Charleston,Management,2004,1,17,33,.5151515,SC
College of Charleston,Management,2004,5,22,52,.42307693,SC
College of Charleston,Management,2004,10,21,55,.38181818,SC
College of Charleston,Management,2007,1,10,19,.52631581,SC
College of Charleston,Management,2007,5,13,35,.37142858,SC
College of Charleston,Management,2007,10,24,59,.40677965,SC
College of Charleston,Management,2010,1,13,27,.48148149,SC
College of Charleston,Management,2010,5,13,33,.39393941,SC
College of Charleston,Management,2010,10,19,66,.28787878,SC
College of Charleston,Management,2013,1,8,29,.27586207,SC
