institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Colorado School of Mines,Arts/Entertainment,2013,1,0,0,,CO
Colorado School of Mines,Arts/Entertainment,2013,5,4,6,.66666669,CO
Colorado School of Mines,Arts/Entertainment,2013,10,,,,CO
Colorado School of Mines,Arts/Entertainment,2016,1,5,5,1,CO
Colorado School of Mines,Arts/Entertainment,2016,5,4,7,.5714286,CO
Colorado School of Mines,Arts/Entertainment,2016,10,,,,CO
Colorado School of Mines,Arts/Entertainment,2019,1,7,11,.63636363,CO
Colorado School of Mines,Arts/Entertainment,2019,5,,,,CO
Colorado School of Mines,Arts/Entertainment,2019,10,,,,CO
Colorado School of Mines,Food/Hospitality,2004,1,10,14,.71428573,CO
Colorado School of Mines,Food/Hospitality,2004,5,4,8,.5,CO
Colorado School of Mines,Food/Hospitality,2004,10,5,10,.5,CO
Colorado School of Mines,Food/Hospitality,2007,1,10,10,1,CO
Colorado School of Mines,Food/Hospitality,2007,5,8,12,.66666669,CO
Colorado School of Mines,Food/Hospitality,2007,10,3,8,.375,CO
Colorado School of Mines,Food/Hospitality,2010,1,10,12,.83333331,CO
Colorado School of Mines,Food/Hospitality,2010,5,4,19,.21052632,CO
Colorado School of Mines,Food/Hospitality,2010,10,5,17,.29411766,CO
Colorado School of Mines,Food/Hospitality,2013,1,20,28,.71428573,CO
Colorado School of Mines,Food/Hospitality,2013,5,6,14,.42857143,CO
Colorado School of Mines,Food/Hospitality,2013,10,,,,CO
Colorado School of Mines,Food/Hospitality,2016,1,19,35,.54285717,CO
Colorado School of Mines,Food/Hospitality,2016,5,8,15,.53333336,CO
Colorado School of Mines,Food/Hospitality,2016,10,,,,CO
Colorado School of Mines,Food/Hospitality,2019,1,20,36,.55555558,CO
Colorado School of Mines,Food/Hospitality,2019,5,,,,CO
Colorado School of Mines,Food/Hospitality,2019,10,,,,CO
Colorado School of Mines,Other Services,2004,1,3,7,.42857143,CO
Colorado School of Mines,Other Services,2004,5,3,10,.30000001,CO
Colorado School of Mines,Other Services,2004,10,2,6,.33333334,CO
Colorado School of Mines,Other Services,2007,1,5,6,.83333331,CO
Colorado School of Mines,Other Services,2007,5,7,9,.77777779,CO
Colorado School of Mines,Other Services,2007,10,5,9,.55555558,CO
Colorado School of Mines,Other Services,2010,1,8,14,.5714286,CO
Colorado School of Mines,Other Services,2010,5,3,9,.33333334,CO
Colorado School of Mines,Other Services,2010,10,5,15,.33333334,CO
Colorado School of Mines,Other Services,2013,1,10,15,.66666669,CO
Colorado School of Mines,Other Services,2013,5,4,9,.44444445,CO
Colorado School of Mines,Other Services,2013,10,,,,CO
Colorado School of Mines,Other Services,2016,1,9,18,.5,CO
Colorado School of Mines,Other Services,2016,5,5,20,.25,CO
Colorado School of Mines,Other Services,2016,10,,,,CO
Colorado School of Mines,Other Services,2019,1,6,15,.40000001,CO
Colorado School of Mines,Other Services,2019,5,,,,CO
Colorado School of Mines,Other Services,2019,10,,,,CO
Colorado School of Mines,Public Admin,2004,1,21,26,.80769229,CO
Colorado School of Mines,Public Admin,2004,5,29,46,.63043481,CO
Colorado School of Mines,Public Admin,2004,10,41,55,.74545455,CO
Colorado School of Mines,Public Admin,2007,1,31,36,.8611111,CO
Colorado School of Mines,Public Admin,2007,5,35,45,.77777779,CO
Colorado School of Mines,Public Admin,2007,10,40,53,.75471699,CO
Colorado School of Mines,Public Admin,2010,1,27,34,.79411763,CO
Colorado School of Mines,Public Admin,2010,5,26,35,.74285716,CO
Colorado School of Mines,Public Admin,2010,10,42,63,.66666669,CO
Colorado School of Mines,Public Admin,2013,1,17,25,.68000001,CO
Colorado School of Mines,Public Admin,2013,5,26,38,.68421054,CO
Colorado School of Mines,Public Admin,2013,10,,,,CO
Colorado School of Mines,Public Admin,2016,1,26,38,.68421054,CO
Colorado School of Mines,Public Admin,2016,5,42,64,.65625,CO
Colorado School of Mines,Public Admin,2016,10,,,,CO
Colorado School of Mines,Public Admin,2019,1,27,41,.65853661,CO
Colorado School of Mines,Public Admin,2019,5,,,,CO
Colorado School of Mines,Public Admin,2019,10,,,,CO
Colorado Mesa,Agriculture,2004,1,2,5,.40000001,CO
Colorado Mesa,Agriculture,2004,5,2,4,.5,CO
Colorado Mesa,Agriculture,2004,10,4,5,.80000001,CO
Colorado Mesa,Agriculture,2007,1,3,4,.75,CO
Colorado Mesa,Agriculture,2007,5,2,5,.40000001,CO
Colorado Mesa,Agriculture,2007,10,2,4,.5,CO
Colorado Mesa,Agriculture,2010,1,1,6,.16666667,CO
Colorado Mesa,Agriculture,2010,5,2,9,.22222222,CO
Colorado Mesa,Agriculture,2010,10,7,7,1,CO
