institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
U Montana Western,Admin/Waste,2004,10,8,9,.8888889,MT
U Montana Western,Admin/Waste,2007,1,6,14,.42857143,MT
U Montana Western,Admin/Waste,2007,5,6,14,.42857143,MT
U Montana Western,Admin/Waste,2007,10,2,13,.15384616,MT
U Montana Western,Admin/Waste,2010,1,7,13,.53846157,MT
U Montana Western,Admin/Waste,2010,5,8,22,.36363637,MT
U Montana Western,Admin/Waste,2010,10,7,16,.4375,MT
U Montana Western,Admin/Waste,2013,1,3,14,.21428572,MT
U Montana Western,Admin/Waste,2013,5,1,10,.1,MT
U Montana Western,Admin/Waste,2013,10,,,,MT
U Montana Western,Admin/Waste,2016,1,6,14,.42857143,MT
U Montana Western,Admin/Waste,2016,5,12,18,.66666669,MT
U Montana Western,Admin/Waste,2016,10,,,,MT
U Montana Western,Admin/Waste,2019,1,4,8,.5,MT
U Montana Western,Admin/Waste,2019,5,,,,MT
U Montana Western,Admin/Waste,2019,10,,,,MT
U Montana Western,Agriculture,2004,1,4,7,.5714286,MT
U Montana Western,Agriculture,2004,5,2,4,.5,MT
U Montana Western,Agriculture,2004,10,5,5,1,MT
U Montana Western,Agriculture,2007,1,4,5,.80000001,MT
U Montana Western,Agriculture,2007,5,2,2,1,MT
U Montana Western,Agriculture,2007,10,4,6,.66666669,MT
U Montana Western,Agriculture,2010,1,2,3,.66666669,MT
U Montana Western,Agriculture,2010,5,6,10,.60000002,MT
U Montana Western,Agriculture,2010,10,5,7,.71428573,MT
U Montana Western,Agriculture,2013,1,2,2,1,MT
U Montana Western,Agriculture,2013,5,0,6,0,MT
U Montana Western,Agriculture,2013,10,,,,MT
U Montana Western,Agriculture,2016,1,8,8,1,MT
U Montana Western,Agriculture,2016,5,9,10,.89999998,MT
U Montana Western,Agriculture,2016,10,,,,MT
U Montana Western,Agriculture,2019,1,4,7,.5714286,MT
U Montana Western,Agriculture,2019,5,,,,MT
U Montana Western,Agriculture,2019,10,,,,MT
U Montana Western,Arts/Entertainment,2004,1,1,1,1,MT
U Montana Western,Arts/Entertainment,2004,5,3,3,1,MT
U Montana Western,Arts/Entertainment,2004,10,1,2,.5,MT
U Montana Western,Arts/Entertainment,2007,1,3,6,.5,MT
U Montana Western,Arts/Entertainment,2007,5,2,2,1,MT
U Montana Western,Arts/Entertainment,2007,10,5,5,1,MT
U Montana Western,Arts/Entertainment,2010,1,0,2,0,MT
U Montana Western,Arts/Entertainment,2010,5,3,4,.75,MT
U Montana Western,Arts/Entertainment,2010,10,1,3,.33333334,MT
U Montana Western,Arts/Entertainment,2013,1,3,7,.42857143,MT
U Montana Western,Arts/Entertainment,2013,5,5,10,.5,MT
U Montana Western,Arts/Entertainment,2013,10,,,,MT
U Montana Western,Arts/Entertainment,2016,1,3,4,.75,MT
U Montana Western,Arts/Entertainment,2016,5,2,3,.66666669,MT
U Montana Western,Arts/Entertainment,2016,10,,,,MT
U Montana Western,Arts/Entertainment,2019,1,1,3,.33333334,MT
U Montana Western,Arts/Entertainment,2019,5,,,,MT
U Montana Western,Arts/Entertainment,2019,10,,,,MT
U Montana Western,Construction,2004,1,11,17,.64705884,MT
U Montana Western,Construction,2004,5,2,17,.11764706,MT
U Montana Western,Construction,2004,10,4,13,.30769232,MT
U Montana Western,Construction,2007,1,8,26,.30769232,MT
U Montana Western,Construction,2007,5,8,20,.40000001,MT
U Montana Western,Construction,2007,10,3,21,.14285715,MT
U Montana Western,Construction,2010,1,14,26,.53846157,MT
U Montana Western,Construction,2010,5,17,30,.56666666,MT
U Montana Western,Construction,2010,10,16,28,.5714286,MT
U Montana Western,Construction,2013,1,9,24,.375,MT
U Montana Western,Construction,2013,5,4,16,.25,MT
U Montana Western,Construction,2013,10,,,,MT
U Montana Western,Construction,2016,1,12,15,.80000001,MT
U Montana Western,Construction,2016,5,12,28,.42857143,MT
U Montana Western,Construction,2016,10,,,,MT
U Montana Western,Construction,2019,1,12,27,.44444445,MT
U Montana Western,Construction,2019,5,,,,MT
U Montana Western,Construction,2019,10,,,,MT
U Montana Western,Education,2004,1,118,165,.71515149,MT
U Montana Western,Education,2004,5,117,176,.66477275,MT
U Montana Western,Education,2004,10,117,165,.70909089,MT
U Montana Western,Education,2007,1,95,163,.58282208,MT
U Montana Western,Education,2007,5,82,133,.61654133,MT
