institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
UA,Food/Hospitality,2010,1,568,873,.65063,AZ
UA,Food/Hospitality,2010,5,209,551,.37931034,AZ
UA,Food/Hospitality,2010,10,128,323,.39628482,AZ
UA,Food/Hospitality,2013,1,479,768,.62369794,AZ
UA,Food/Hospitality,2013,5,201,462,.43506494,AZ
UA,Food/Hospitality,2013,10,,,,AZ
UA,Food/Hospitality,2016,1,540,824,.65533978,AZ
UA,Food/Hospitality,2016,5,202,474,.42616034,AZ
UA,Food/Hospitality,2016,10,,,,AZ
UA,Food/Hospitality,2019,1,521,764,.68193716,AZ
UA,Food/Hospitality,2019,5,,,,AZ
UA,Food/Hospitality,2019,10,,,,AZ
UA,Other Services,2004,1,132,201,.65671641,AZ
UA,Other Services,2004,5,113,237,.47679326,AZ
UA,Other Services,2004,10,104,229,.45414847,AZ
UA,Other Services,2007,1,151,218,.69266057,AZ
UA,Other Services,2007,5,113,236,.47881356,AZ
UA,Other Services,2007,10,97,219,.44292238,AZ
UA,Other Services,2010,1,128,215,.59534883,AZ
UA,Other Services,2010,5,119,258,.46124032,AZ
UA,Other Services,2010,10,114,242,.47107437,AZ
UA,Other Services,2013,1,145,217,.66820276,AZ
UA,Other Services,2013,5,124,261,.47509578,AZ
UA,Other Services,2013,10,,,,AZ
UA,Other Services,2016,1,134,216,.62037039,AZ
UA,Other Services,2016,5,181,293,.61774743,AZ
UA,Other Services,2016,10,,,,AZ
UA,Other Services,2019,1,180,259,.69498068,AZ
UA,Other Services,2019,5,,,,AZ
UA,Other Services,2019,10,,,,AZ
UA,Public Admin,2004,1,296,387,.76485789,AZ
UA,Public Admin,2004,5,402,563,.71403199,AZ
UA,Public Admin,2004,10,428,674,.63501483,AZ
UA,Public Admin,2007,1,261,343,.76093292,AZ
UA,Public Admin,2007,5,418,583,.71698111,AZ
UA,Public Admin,2007,10,441,698,.63180518,AZ
UA,Public Admin,2010,1,274,359,.76323122,AZ
UA,Public Admin,2010,5,457,667,.68515742,AZ
UA,Public Admin,2010,10,432,693,.62337661,AZ
UA,Public Admin,2013,1,330,436,.75688076,AZ
UA,Public Admin,2013,5,513,765,.67058825,AZ
UA,Public Admin,2013,10,,,,AZ
UA,Public Admin,2016,1,359,472,.76059324,AZ
UA,Public Admin,2016,5,500,780,.64102566,AZ
UA,Public Admin,2016,10,,,,AZ
UA,Public Admin,2019,1,395,522,.75670499,AZ
UA,Public Admin,2019,5,,,,AZ
UA,Public Admin,2019,10,,,,AZ
