institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Utah Tech,Professional Services,2016,5,133,183,.72677594,UT
Utah Tech,Professional Services,2016,10,,,,UT
Utah Tech,Professional Services,2019,1,140,180,.77777779,UT
Utah Tech,Professional Services,2019,5,,,,UT
Utah Tech,Professional Services,2019,10,,,,UT
Utah Tech,Public Admin,2010,1,7,13,.53846157,UT
Utah Tech,Public Admin,2010,5,23,38,.60526317,UT
Utah Tech,Public Admin,2010,10,19,34,.55882353,UT
Utah Tech,Public Admin,2013,1,30,36,.83333331,UT
Utah Tech,Public Admin,2013,5,35,56,.625,UT
Utah Tech,Public Admin,2013,10,,,,UT
Utah Tech,Public Admin,2016,1,44,73,.60273975,UT
Utah Tech,Public Admin,2016,5,58,92,.63043481,UT
Utah Tech,Public Admin,2016,10,,,,UT
Utah Tech,Public Admin,2019,1,54,81,.66666669,UT
Utah Tech,Public Admin,2019,5,,,,UT
Utah Tech,Public Admin,2019,10,,,,UT
Utah Tech,Real Estate,2010,1,11,12,.91666669,UT
Utah Tech,Real Estate,2010,5,5,5,1,UT
Utah Tech,Real Estate,2010,10,6,8,.75,UT
Utah Tech,Real Estate,2013,1,8,9,.8888889,UT
Utah Tech,Real Estate,2013,5,10,11,.90909094,UT
Utah Tech,Real Estate,2013,10,,,,UT
Utah Tech,Real Estate,2016,1,16,19,.84210527,UT
Utah Tech,Real Estate,2016,5,13,13,1,UT
Utah Tech,Real Estate,2016,10,,,,UT
Utah Tech,Real Estate,2019,1,30,33,.90909094,UT
Utah Tech,Real Estate,2019,5,,,,UT
Utah Tech,Real Estate,2019,10,,,,UT
Utah Tech,Retail,2010,1,42,62,.67741936,UT
Utah Tech,Retail,2010,5,35,75,.46666667,UT
Utah Tech,Retail,2010,10,35,67,.52238804,UT
Utah Tech,Retail,2013,1,74,101,.73267329,UT
Utah Tech,Retail,2013,5,57,95,.60000002,UT
Utah Tech,Retail,2013,10,,,,UT
Utah Tech,Retail,2016,1,100,145,.68965518,UT
Utah Tech,Retail,2016,5,66,109,.60550457,UT
Utah Tech,Retail,2016,10,,,,UT
Utah Tech,Retail,2019,1,130,172,.75581396,UT
Utah Tech,Retail,2019,5,,,,UT
Utah Tech,Retail,2019,10,,,,UT
Utah Tech,Transportation,2010,1,11,17,.64705884,UT
Utah Tech,Transportation,2010,5,7,14,.5,UT
Utah Tech,Transportation,2010,10,7,11,.63636363,UT
Utah Tech,Transportation,2013,1,26,37,.7027027,UT
Utah Tech,Transportation,2013,5,40,51,.78431374,UT
Utah Tech,Transportation,2013,10,,,,UT
Utah Tech,Transportation,2016,1,41,54,.75925928,UT
Utah Tech,Transportation,2016,5,33,45,.73333335,UT
Utah Tech,Transportation,2016,10,,,,UT
Utah Tech,Transportation,2019,1,55,67,.82089549,UT
Utah Tech,Transportation,2019,5,,,,UT
Utah Tech,Transportation,2019,10,,,,UT
Utah Tech,Utilities,2010,1,0,1,0,UT
Utah Tech,Utilities,2010,5,3,3,1,UT
Utah Tech,Utilities,2010,10,1,1,1,UT
Utah Tech,Utilities,2013,1,1,3,.33333334,UT
Utah Tech,Utilities,2013,5,0,0,,UT
Utah Tech,Utilities,2013,10,,,,UT
Utah Tech,Utilities,2016,1,3,8,.375,UT
Utah Tech,Utilities,2016,5,1,3,.33333334,UT
Utah Tech,Utilities,2016,10,,,,UT
Utah Tech,Utilities,2019,1,2,4,.5,UT
Utah Tech,Utilities,2019,5,,,,UT
Utah Tech,Utilities,2019,10,,,,UT
Utah Tech,Wholesale,2010,1,9,11,.81818181,UT
Utah Tech,Wholesale,2010,5,14,21,.66666669,UT
Utah Tech,Wholesale,2010,10,11,15,.73333335,UT
Utah Tech,Wholesale,2013,1,31,39,.79487181,UT
Utah Tech,Wholesale,2013,5,23,31,.74193549,UT
Utah Tech,Wholesale,2013,10,,,,UT
Utah Tech,Wholesale,2016,1,29,39,.74358976,UT
Utah Tech,Wholesale,2016,5,25,34,.7352941,UT
Utah Tech,Wholesale,2016,10,,,,UT
Utah Tech,Wholesale,2019,1,32,37,.86486489,UT
Utah Tech,Wholesale,2019,5,,,,UT
Utah Tech,Wholesale,2019,10,,,,UT
Utah Valley,Admin/Waste,2010,1,178,216,.82407409,UT
Utah Valley,Admin/Waste,2010,5,130,194,.67010307,UT
Utah Valley,Admin/Waste,2010,10,125,188,.66489363,UT
Utah Valley,Admin/Waste,2013,1,265,322,.82298136,UT
Utah Valley,Admin/Waste,2013,5,181,268,.67537314,UT
Utah Valley,Admin/Waste,2013,10,,,,UT
Utah Valley,Admin/Waste,2016,1,326,390,.83589745,UT
Utah Valley,Admin/Waste,2016,5,183,259,.70656371,UT
Utah Valley,Admin/Waste,2016,10,,,,UT
Utah Valley,Admin/Waste,2019,1,335,407,.8230958,UT
